Node,CPU%(max),CPU%(avg),Memory(max) [GB],Memory(avg) [GB],Traffic In [B],Traffic Out [B],Disc Write [B],Disc Read [B],Disc Write [MB],Disc Read [KB],Disc Read [GB],ReportFile,Rate
/node4,0.17,0.0583333333333333,1.76,1.76,0.0,0.0,2.35,0.0,0.0,0.0,0.0,updateDid_report_100_20250326-015429.html,100
/node2,0.1866666666666666,0.055,2.85,2.85,0.0,0.0,3.15,12.0,0.0,0.0117,0.0,updateDid_report_100_20250326-015429.html,100
/node6,0.1708333333333333,0.0541666666666666,1.85,1.85,0.0,0.0,3.12,0.0,0.0,0.0,0.0,updateDid_report_100_20250326-015429.html,100
/node5,0.1816666666666666,0.0691666666666666,1.78,1.78,0.0,0.0,5.45,52.0,0.0,0.0508,0.0,updateDid_report_100_20250326-015429.html,100
/node3,0.1875,0.0616666666666666,1.78,1.78,0.0,0.0,3.12,0.0,0.0,0.0,0.0,updateDid_report_100_20250326-015429.html,100
/node1,0.2866666666666667,0.0858333333333333,3.02,3.02,0.0,0.0,3.41,12.0,0.0,0.0117,0.0,updateDid_report_100_20250326-015429.html,100
/node4,0.17,0.0583333333333333,1.76,1.76,0.0,0.0,2.35,0.0,0.0,0.0,0.0,updateDid_report_100_20250326-015429.html,100
/node2,0.1866666666666666,0.055,2.85,2.85,0.0,0.0,3.15,12.0,0.0,0.0117,0.0,updateDid_report_100_20250326-015429.html,100
/node6,0.1708333333333333,0.0541666666666666,1.85,1.85,0.0,0.0,3.12,0.0,0.0,0.0,0.0,updateDid_report_100_20250326-015429.html,100
/node5,0.1816666666666666,0.0691666666666666,1.78,1.78,0.0,0.0,5.45,52.0,0.0,0.0508,0.0,updateDid_report_100_20250326-015429.html,100
/node3,0.1875,0.0616666666666666,1.78,1.78,0.0,0.0,3.12,0.0,0.0,0.0,0.0,updateDid_report_100_20250326-015429.html,100
/node1,0.2866666666666667,0.0858333333333333,3.02,3.02,0.0,0.0,3.41,12.0,0.0,0.0117,0.0,updateDid_report_100_20250326-015429.html,100
/node4,0.1591666666666666,0.0558333333333333,2.0,1.99,0.0,0.0,6.1,0.082,0.0,0.0001,0.0,updateDid_report_100_20250326-100353.html,100
/node2,0.3083333333333333,0.1416666666666666,2.09,2.09,0.0,0.0,3.13,0.102,0.0,0.0001,0.0,updateDid_report_100_20250326-100353.html,100
/node6,0.7975,0.2975,2.05,2.02,0.0,0.0,5.91,6.47,0.0,0.0063,0.0,updateDid_report_100_20250326-100353.html,100
/node5,0.37,0.1558333333333333,2.17,2.14,0.0,0.0,5.25,0.0859,0.0,0.0001,0.0,updateDid_report_100_20250326-100353.html,100
/node3,0.3225,0.165,2.1,2.09,0.0,0.0,26.8,0.891,0.0,0.0009,0.0,updateDid_report_100_20250326-100353.html,100
