Node,CPU%(max),CPU%(avg),Memory(max) [GB],Memory(avg) [GB],Traffic In [B],Traffic Out [B],Disc Write [B],Disc Read [B],Disc Write [MB],Disc Read [KB],Disc Read [GB],ReportFile,Rate
/node4,0.8733333333333334,0.255,1.58,1.58,0.0,0.0,4.48,24.0,0.0,0.0234,0.0,createDid_report_40_20250326-014924.html,40
/node2,0.11,0.0375,2.81,2.8,0.0,0.0,0.0,452.0,0.0,0.4414,0.0,createDid_report_40_20250326-014924.html,40
/node6,0.1241666666666666,0.0458333333333333,1.65,1.64,0.0,0.0,4.36,644.0,0.0,0.6289,1e-06,createDid_report_40_20250326-014924.html,40
/node5,0.1108333333333333,0.0375,1.92,1.91,0.0,0.0,7.28,92.0,0.0,0.0898,0.0,createDid_report_40_20250326-014924.html,40
/node3,0.1125,0.0491666666666666,1.65,1.65,0.0,0.0,4.39,0.0,0.0,0.0,0.0,createDid_report_40_20250326-014924.html,40
/node1,0.24,0.1166666666666666,1.65,1.65,0.0,0.0,8.2,36.0,0.0,0.0352,0.0,createDid_report_40_20250326-014924.html,40
/node4,0.8733333333333334,0.255,1.58,1.58,0.0,0.0,4.48,24.0,0.0,0.0234,0.0,createDid_report_40_20250326-014924.html,40
/node2,0.11,0.0375,2.81,2.8,0.0,0.0,0.0,452.0,0.0,0.4414,0.0,createDid_report_40_20250326-014924.html,40
/node6,0.1241666666666666,0.0458333333333333,1.65,1.64,0.0,0.0,4.36,644.0,0.0,0.6289,1e-06,createDid_report_40_20250326-014924.html,40
/node5,0.1108333333333333,0.0375,1.92,1.91,0.0,0.0,7.28,92.0,0.0,0.0898,0.0,createDid_report_40_20250326-014924.html,40
/node3,0.1125,0.0491666666666666,1.65,1.65,0.0,0.0,4.39,0.0,0.0,0.0,0.0,createDid_report_40_20250326-014924.html,40
/node1,0.24,0.1166666666666666,1.65,1.65,0.0,0.0,8.2,36.0,0.0,0.0352,0.0,createDid_report_40_20250326-014924.html,40
/node4,1.3475,0.365,1.9,1.81,0.0,0.0,4.56,2.78,0.0,0.0027,0.0,createDid_report_40_20250326-021108.html,40
/node2,0.4783333333333333,0.1516666666666666,2.22,2.22,0.0,0.0,19.7,3.2,0.0,0.0031,0.0,createDid_report_40_20250326-021108.html,40
/node6,0.5658333333333333,0.1683333333333333,1.81,1.8,0.0,0.0,3.81,0.00391,0.0,0.0,0.0,createDid_report_40_20250326-021108.html,40
/node5,0.8408333333333333,0.2383333333333333,1.8,1.79,0.0,0.0,3.72,1.55,0.0,0.0015,0.0,createDid_report_40_20250326-021108.html,40
/node3,0.4941666666666666,0.2516666666666666,1.79,1.78,0.0,0.0,2.54,4.38,0.0,0.0043,0.0,createDid_report_40_20250326-021108.html,40
/node1,0.7050000000000001,0.2191666666666666,3.06,3.05,0.0,0.0,3.8,22.3,0.0,0.0218,0.0,createDid_report_40_20250326-021108.html,40
/node4,1.3475,0.365,1.9,1.81,0.0,0.0,4.56,2.78,0.0,0.0027,0.0,createDid_report_40_20250326-021108.html,40
/node2,0.4783333333333333,0.1516666666666666,2.22,2.22,0.0,0.0,19.7,3.2,0.0,0.0031,0.0,createDid_report_40_20250326-021108.html,40
/node6,0.5658333333333333,0.1683333333333333,1.81,1.8,0.0,0.0,3.81,0.00391,0.0,0.0,0.0,createDid_report_40_20250326-021108.html,40
/node5,0.8408333333333333,0.2383333333333333,1.8,1.79,0.0,0.0,3.72,1.55,0.0,0.0015,0.0,createDid_report_40_20250326-021108.html,40
/node3,0.4941666666666666,0.2516666666666666,1.79,1.78,0.0,0.0,2.54,4.38,0.0,0.0043,0.0,createDid_report_40_20250326-021108.html,40
/node1,0.7050000000000001,0.2191666666666666,3.06,3.05,0.0,0.0,3.8,22.3,0.0,0.0218,0.0,createDid_report_40_20250326-021108.html,40
/node4,0.45,0.1425,2.16,2.15,0.0,0.0,5.43,19.5,0.0,0.019,0.0,createDid_report_40_20250326-093251.html,40
/node2,0.08,0.0308333333333333,2.12,2.11,0.0,0.0,6.38,21.5,0.0,0.021,0.0,createDid_report_40_20250326-093251.html,40
/node6,0.0816666666666666,0.0275,3.83,3.82,0.0,0.0,75.8,32.4,0.0001,0.0316,0.0,createDid_report_40_20250326-093251.html,40
/node5,0.5641666666666666,0.1841666666666666,2.11,2.1,0.0,0.0,44.9,23.2,0.0,0.0227,0.0,createDid_report_40_20250326-093251.html,40
/node3,0.0833333333333333,0.0308333333333333,2.02,2.02,0.0,0.0,5.56,26.0,0.0,0.0254,0.0,createDid_report_40_20250326-093251.html,40
/node1,0.1316666666666666,0.0491666666666666,2.64,2.62,0.0,0.0,126.0,72.8,0.0001,0.0711,0.0,createDid_report_40_20250326-093251.html,40
/node4,0.45,0.1425,2.16,2.15,0.0,0.0,5.43,19.5,0.0,0.019,0.0,createDid_report_40_20250326-093251.html,40
